Date,BTC_close,BTC_open,BTC_high,BTC_low,BTC_volume,Active_Addr_Cnt,Difficulty,Mean_Block_Size(in_bytes),Sum_Block_Weight,Total_Fees(USD),Mean_Hashrate,Xfer_Cnt,Mean_Tx_size(native_units),ETH,LTC,DOGE,XRP,GOLD,SILVER,COPPER,S&P500,DJI,JP225
2016-03-19,408.7,408.2,410.5,402.1,37.0,428645.0,165497000000.0,652300.6838,354851572.0,14197.590847430632,1118857.352,468093.0,4.271745866,10.31,,,0.00782,1254.3,15.811,5051.0,2049.58,17602.3,16724.81
2016-03-20,411.5,408.7,413.5,407.2,30.54,430803.0,165497000000.0,658777.4041,384726004.0,13699.078818174688,1201126.275,486489.0,3.28122145,10.18,,,0.00778,1254.3,15.811,5051.0,2049.58,17602.3,16724.81
2016-03-21,411.1,411.5,413.1,407.3,43.16,435918.0,165497000000.0,747971.2014,415871988.0,17029.234661198072,1143538.029,473012.0,3.655861076,11.95,,,0.00792,1244.2,15.847,5050.0,2051.6,17623.87,16724.81
2016-03-22,416.2,411.1,417.9,410.8,49.08,462080.0,165497000000.0,710488.4324,420609152.0,17576.115978127065,1217580.06,507741.0,3.742924881,11.37,,,0.00792,1248.6,15.885,5063.5,2049.8,17582.57,17048.55
2016-03-23,417.0,416.2,419.6,414.2,40.61,438399.0,165497000000.0,683937.9664,407627028.0,16305.04425404478,1225806.952,451253.0,3.851052042,12.43,,,0.00838,1224.0,15.272,4958.5,2036.71,17502.59,17000.98
2016-03-24,414.7,417.0,417.7,412.9,38.83,430544.0,165497000000.0,671988.7823,395129404.0,15814.775689291346,1209353.168,436296.0,4.572698605,11.2,,,0.00842,1221.6,15.199,4957.0,2035.94,17515.73,16892.33
2016-03-25,415.7,414.7,417.3,412.4,34.59,392195.0,165497000000.0,618085.5822,360961980.0,13483.88742614704,1201126.275,401947.0,4.398315005,10.67,,,0.00821,1221.6,15.199,4957.0,2035.94,17515.73,17002.75
2016-03-26,416.5,415.7,417.7,413.9,28.06,471861.0,165497000000.0,638061.0588,390493368.0,15397.049388230736,1258714.521,413191.0,3.169448716,11.0,,,0.00813,1221.6,15.199,4957.0,2035.94,17515.73,17002.75
2016-03-27,424.6,416.5,427.4,415.5,61.72,410531.0,165497000000.0,614367.5106,346503276.0,12988.63005893684,1159991.814,415988.0,3.720474353,10.4,,,0.00786,1221.6,15.199,4957.0,2035.94,17515.73,17002.75
2016-03-28,422.2,424.6,425.4,419.7,43.45,520539.0,165497000000.0,682015.6294,463770628.0,19867.96456921586,1398571.69,465996.0,3.743305285,11.62,,,0.00733,1220.1,15.19,4957.0,2037.05,17535.39,17134.37
2016-03-29,415.0,422.2,424.5,406.4,69.11,674110.0,165497000000.0,844312.4076,530228192.0,24379.037543230905,1291622.091,490627.0,3.496157836,11.79,,,0.0075,1235.8,15.233,4917.0,2055.01,17633.11,17103.53
2016-03-30,412.4,415.0,416.2,408.4,43.28,475833.0,165497000000.0,744987.8639,438052864.0,18582.184548037538,1209353.168,429792.0,3.652711231,11.85,,,0.0071,1228.6,15.23,4873.0,2063.95,17716.66,16878.96
